Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,1,,,,,,,,,,
WorkFlow,0.113833154425112,1,,,,,,,,,
WorkFlow,0.110320271241777,0.989674206631958,1,,,,,,,,
WorkFlow,0.30615051844811,-0.118148041783241,-0.150742466728467,1,,,,,,,
WorkFlow,-0.108948867792919,0.033665046942712,-0.00684417846038923,0.412304844160742,1,,,,,,
WorkFlow,0.0728485008329863,-0.0226127863383957,0.0206944321604207,-0.350780857658854,-0.49725248589409,1,,,,,
WorkFlow,0.0563347407384158,0.0402360274420256,0.0797211667609845,-0.314555881176948,-0.433281105326347,0.991556072784848,1,,,,
WorkFlow,0.0950073244927774,-0.277447692485761,-0.244126265000934,-0.418018727387773,-0.625448413620824,0.893073422255666,0.831294508280203,1,,,
WorkFlow,0.169235131775452,0.257694236616929,0.293603440563463,-0.408206169877421,-0.501671010224177,0.801455025977114,0.768228032591562,0.785087850234006,1,,
WorkFlow,-0.0202214228633809,0.233987778868563,0.229918700337985,0.00378319805698486,0.0506648492431594,0.0876347699232587,0.113483465517863,-0.011023340941044,0.0434288546023814,1,
WorkFlow,0.223542652917141,-0.0847499763352356,-0.112033691470023,0.377723771047041,0.247531599715445,-0.546474355365614,-0.55144734561994,-0.441839220635394,-0.381800647854583,-0.244680246408471,1
